Aggregation analysis,PioViewer 3.3.16, EV in chips
File, C:\Users\bkush\DPS\Pious\src\pious\pio\resources\database\As9s6h.cfr
Action Line,Root CHECK CHECK 6c BET 300
Flop,Turn,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,CALL freq,FOLD freq
Js 5h 3d,4d,6.63865,62.88,521.005,138.089,37.12,77.4947,69.5947,52.80,47.20
Js 5h 3d,5d,6.16957,60.77,514.289,141.044,39.23,84.2114,71.5568,51.44,48.56
Js 5h 3d,6d,6.08457,60.04,510.922,141.828,39.96,87.578,73.055,53.39,46.61
Js 5h 3d,7d,5.18226,58.37,504.098,143.931,41.63,94.4021,75.5929,52.91,47.09
Js 5h 3d,8d,6.55081,57.80,505.979,145.91,42.20,92.5212,73.0743,54.27,45.73
Js 5h 3d,9d,8.31665,56.64,493.37,145.177,43.36,105.13,80.8202,56.77,43.23
Js 5h 3d,Td,10.9213,58.57,492.257,140.072,41.43,106.243,85.4834,54.82,45.18
Js 5h 3d,Jd,5.71855,56.47,480.266,141.743,43.53,118.234,90.5414,52.38,47.62
Js 5h 3d,Qd,11.391,62.27,519.506,139.052,37.73,78.9936,69.7839,51.00,49.00
Js 5h 3d,Kd,12.939,62.19,506.212,135.662,37.81,92.2881,81.3623,46.04,53.96
Js 5h 3d,Ad,5.90545,61.58,511.405,138.415,38.42,87.0954,75.5621,45.25,54.75
Js 5h 3d,2h,6.30011,62.21,522.345,139.952,37.79,76.1555,67.166,52.13,47.87
Js 5h 3d,3h,6.10788,61.01,514.764,140.619,38.99,83.7356,71.5905,50.97,49.03
Js 5h 3d,4h,6.58046,63.09,522.184,137.956,36.91,76.3157,68.9124,52.67,47.33
Js 5h 3d,6h,6.11378,60.18,511.48,141.662,39.82,87.0198,72.8371,53.13,46.87
Js 5h 3d,7h,5.20502,58.15,503.057,144.193,41.85,95.4427,76.0133,52.76,47.24
Js 5h 3d,8h,6.55036,57.77,505.81,145.923,42.23,92.6898,73.1653,54.06,45.94
Js 5h 3d,9h,8.14067,56.81,494.693,145.139,43.19,103.807,80.1105,56.73,43.27
Js 5h 3d,Th,10.8937,58.65,492.262,139.886,41.35,106.238,85.6418,55.05,44.95
Js 5h 3d,Jh,5.72464,56.53,480.255,141.593,43.47,118.245,90.6713,52.12,47.88
Js 5h 3d,Qh,11.4468,62.19,518.668,139.008,37.81,79.8315,70.3739,50.88,49.12
Js 5h 3d,Kh,12.7179,62.16,505.945,135.667,37.84,92.5546,81.5213,46.40,53.60
Js 5h 3d,Ah,5.81076,61.52,511.075,138.457,38.48,87.4251,75.7323,45.24,54.76
Js 5h 3d,2s,6.50326,62.30,524.377,140.289,37.70,74.1233,65.5332,52.88,47.12
Js 5h 3d,3s,6.14887,61.09,517.37,141.158,38.91,81.13,69.4956,51.45,48.55
Js 5h 3d,4s,6.66859,63.27,523.603,137.936,36.73,74.8966,67.964,53.96,46.04
Js 5h 3d,5s,6.22746,61.06,517.767,141.32,38.94,80.7335,69.1147,51.70,48.30
Js 5h 3d,6s,6.12434,60.44,515.795,142.241,39.56,82.7053,69.6822,53.79,46.21
Js 5h 3d,7s,5.46887,58.34,504.379,144.097,41.66,94.1206,75.3046,53.02,46.98
Js 5h 3d,8s,6.64653,58.12,509.693,146.17,41.88,88.8073,70.6777,54.07,45.93
Js 5h 3d,9s,8.01139,56.72,495.562,145.605,43.28,102.938,79.2893,56.92,43.08
Js 5h 3d,Ts,10.9896,58.94,495.903,140.225,41.06,102.598,83.2931,55.51,44.49
Js 5h 3d,Qs,11.1144,62.08,518.354,139.174,37.92,80.1458,70.4426,51.76,48.24
Js 5h 3d,Ks,13.7437,62.20,507.399,135.955,37.80,91.1012,80.3403,46.28,53.72
Js 5h 3d,As,5.89974,61.57,512.803,138.822,38.43,85.6969,74.3243,45.25,54.75
Ks 5h 4h,,6.01444,61.10,511.612,139.545,38.90,86.8883,74.4637,49.94,50.06
Ks 5h 4h,2c,6.0127,62.99,535.412,141.673,37.01,63.0882,56.8159,47.69,52.31
Ks 5h 4h,3c,4.86678,65.58,539.132,137.017,34.42,59.368,57.4931,51.33,48.67
Ks 5h 4h,4c,6.72945,61.48,523.077,141.791,38.52,75.423,65.2752,46.49,53.51
Ks 5h 4h,5c,4.65951,60.12,512.661,142.124,39.88,85.8393,71.7458,46.21,53.79
Ks 5h 4h,6c,4.2619,62.71,523.659,139.182,37.29,74.8411,66.894,49.64,50.36
Ks 5h 4h,7c,3.23558,61.81,521.007,140.485,38.19,77.4934,67.6392,47.44,52.56
Ks 5h 4h,8c,4.98337,62.38,518.953,138.648,37.62,79.5475,70.4879,47.58,52.42
Ks 5h 4h,9c,6.04257,60.55,505.452,139.138,39.45,93.0485,78.6128,48.47,51.53
