Aggregation analysis,PioViewer 3.3.16, EV in chips
File, C:\Users\bkush\DPS\Pious\src\pious\pio\resources\database\Ts7h4d.cfr
Action Line,Root CHECK CHECK As CHECK BET 300
Flop,Turn,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,CALL freq,FOLD freq
Js 5h 3d,3c,1.29532,39.50,104.067,87.826,60.50,494.433,136.201,37.32,62.68
Js 5h 3d,4c,2.64148,35.28,85.2396,80.5399,64.72,513.26,132.171,36.03,63.97
Js 5h 3d,5c,1.31584,39.66,103.936,87.3449,60.34,494.564,136.616,37.59,62.41
Js 5h 3d,6c,2.52883,42.23,106.881,84.361,57.77,491.619,141.836,41.41,58.59
Js 5h 3d,7c,3.14873,40.49,103.497,85.1957,59.51,495.003,138.642,38.73,61.27
Js 5h 3d,8c,2.74562,40.04,110.433,91.9337,59.96,488.067,135.667,36.25,63.75
Js 5h 3d,9c,4.06736,37.25,93.1561,83.3601,62.75,505.344,134.223,37.82,62.18
Js 5h 3d,Tc,3.81774,33.28,70.2958,70.4121,66.72,528.204,131.942,40.67,59.33
Js 5h 3d,Jc,0.8752,43.90,115.808,87.943,56.10,482.692,143.39,38.70,61.30
Js 5h 3d,Qc,2.76936,34.46,100.316,97.0416,65.54,498.184,126.683,31.48,68.52
Js 5h 3d,Kc,1.18496,37.25,106.943,95.6997,62.75,491.557,130.559,35.44,64.56
Js 5h 3d,Ac,1.72514,36.31,64.4086,59.1303,63.69,534.091,139.761,29.22,70.78
Js 5h 3d,2d,2.49126,34.45,75.3684,72.9207,65.55,523.132,133.015,34.91,65.09
Js 5h 3d,4d,3.00145,35.01,77.8121,74.087,64.99,520.688,133.529,34.71,65.29
Js 5h 3d,5d,1.39764,39.93,102.744,85.7605,60.07,495.756,137.56,36.53,63.47
Js 5h 3d,6d,2.87391,39.50,96.3391,81.3052,60.50,502.161,138.329,39.64,60.36
Js 5h 3d,7d,3.63046,40.67,101.856,83.4758,59.33,496.644,139.521,38.29,61.71
Js 5h 3d,8d,3.79042,38.61,101.758,87.8404,61.39,496.742,134.87,35.72,64.28
Js 5h 3d,9d,5.21264,37.76,96.1058,84.8458,62.24,502.394,134.525,38.96,61.04
Js 5h 3d,Td,4.36657,32.74,75.3873,76.7533,67.26,523.113,129.625,38.48,61.52
Js 5h 3d,Jd,1.46548,40.44,101.966,84.0484,59.56,496.534,138.944,38.78,61.22
Js 5h 3d,Qd,3.46893,34.38,91.3878,88.6157,65.62,507.112,128.792,30.47,69.53
Js 5h 3d,Kd,1.36015,32.99,96.433,97.4242,67.01,502.067,124.881,31.03,68.97
Js 5h 3d,Ad,2.138,34.89,70.0699,66.9483,65.11,528.43,135.261,30.56,69.44
Js 5h 3d,2h,2.44858,34.53,75.9078,73.2778,65.47,522.592,133.035,35.03,64.97
Js 5h 3d,3h,1.33559,37.99,94.4009,82.8268,62.01,504.099,135.492,35.58,64.42
Js 5h 3d,4h,2.96607,35.20,78.0002,73.8707,64.80,520.5,133.867,34.82,65.18
Js 5h 3d,6h,2.74954,39.47,95.6738,80.8072,60.53,502.826,138.441,39.70,60.30
Js 5h 3d,7h,3.59359,40.69,101.663,83.2823,59.31,496.837,139.616,38.33,61.67
Js 5h 3d,8h,3.71022,38.61,101.178,87.3447,61.39,497.322,135.022,35.73,64.27
Js 5h 3d,9h,5.27924,37.58,95.2576,84.4843,62.42,503.242,134.378,39.02,60.98
Js 5h 3d,Th,4.42454,32.79,75.5563,76.8198,67.21,522.944,129.67,38.45,61.55
Js 5h 3d,Jh,1.38214,40.60,101.839,83.6109,59.40,496.661,139.356,38.90,61.10
Js 5h 3d,Qh,3.43359,34.15,90.7878,88.611,65.85,507.712,128.506,30.38,69.62
Js 5h 3d,Kh,1.41801,33.13,96.6958,97.295,66.87,501.804,125.066,30.93,69.07
Js 5h 3d,Ah,2.09677,34.71,69.1568,66.4094,65.29,529.343,135.131,31.04,68.96
Js 5h 3d,2s,2.58932,34.29,76.2357,74.1137,65.71,522.264,132.462,34.46,65.54
Js 5h 3d,3s,1.2931,39.43,103.011,87.084,60.57,495.489,136.34,36.15,63.85
Js 5h 3d,4s,3.22781,36.24,85.2009,78.3771,63.76,513.299,134.165,34.24,65.76
Js 5h 3d,5s,1.35774,39.86,104.702,87.564,60.14,493.798,136.841,36.70,63.30
Js 5h 3d,6s,2.9015,40.21,100.027,82.924,59.79,498.473,138.947,39.63,60.37
Js 5h 3d,7s,3.89707,41.29,105.875,85.4716,58.71,492.625,139.848,38.21,61.79
Js 5h 3d,8s,3.58657,38.56,102.745,88.8138,61.44,495.755,134.487,35.12,64.88
Js 5h 3d,9s,5.36563,38.38,98.0091,85.1264,61.62,500.491,135.366,39.07,60.93
Js 5h 3d,Ts,4.46012,33.52,80.3131,79.8549,66.48,518.187,129.919,38.47,61.53
Js 5h 3d,Qs,3.6193,34.38,93.6871,90.8223,65.62,504.813,128.226,30.46,69.54
Js 5h 3d,Ks,1.3606,33.08,96.4854,97.2316,66.92,502.015,125.024,30.65,69.35
Js 5h 3d,As,2.18608,35.87,71.2309,66.2012,64.13,527.269,137.023,29.99,70.01
Ks 5h 4h,,3.35551,32.76,77.6135,78.9685,67.24,520.886,129.114,33.01,66.99
Ks 5h 4h,2c,2.61754,30.22,64.7279,71.3904,69.78,533.772,127.494,32.01,67.99
Ks 5h 4h,3c,4.54779,32.86,76.7199,77.8249,67.14,521.78,129.525,32.92,67.08
Ks 5h 4h,4c,0.12623,35.24,78.8693,74.5934,64.76,519.631,133.741,30.94,69.06
Ks 5h 4h,5c,0.22533,28.62,70.9723,82.6699,71.38,527.528,123.168,31.22,68.78
Ks 5h 4h,6c,3.13682,35.06,89.1959,84.8036,64.94,509.304,130.711,33.81,66.19
Ks 5h 4h,7c,1.96991,32.60,82.2449,84.0974,67.40,516.255,127.658,32.96,67.04
Ks 5h 4h,8c,1.96294,31.11,74.9608,80.3112,68.89,523.539,126.666,32.49,67.51
Ks 5h 4h,9c,2.83084,30.22,66.3347,73.1766,69.78,532.165,127.1,34.13,65.87
Ks 5h 4h,Tc,5.37757,30.31,64.6794,71.1243,69.69,533.82,127.671,35.09,64.91
Ks 5h 4h,Jc,5.32921,30.45,62.5759,68.4967,69.55,535.924,128.43,34.58,65.42
Ks 5h 4h,Qc,3.7108,29.29,55.9001,63.6146,70.71,542.6,127.895,31.07,68.93
Ks 5h 4h,Kc,2.31699,39.95,113.534,94.7374,60.05,484.966,134.594,31.62,68.38
Ks 5h 4h,Ac,1.18335,31.45,65.6066,69.5295,68.55,532.893,129.568,22.60,77.40
Ks 5h 4h,2d,2.61754,30.22,64.7279,71.3904,69.78,533.772,127.494,32.01,67.99
Ks 5h 4h,3d,4.54779,32.86,76.7199,77.8249,67.14,521.78,129.525,32.92,67.08
Ks 5h 4h,4d,0.12623,35.24,78.8693,74.5934,64.76,519.631,133.741,30.94,69.06
Ks 5h 4h,5d,0.22533,28.62,70.9723,82.6699,71.38,527.528,123.168,31.22,68.78
Ks 5h 4h,6d,3.13682,35.06,89.1959,84.8036,64.94,509.304,130.711,33.81,66.19
Ks 5h 4h,7d,1.96991,32.60,82.2449,84.0974,67.40,516.255,127.658,32.96,67.04
Ks 5h 4h,8d,1.96294,31.11,74.9608,80.3112,68.89,523.539,126.666,32.49,67.51
Ks 5h 4h,9d,2.83084,30.22,66.3347,73.1766,69.78,532.165,127.1,34.13,65.87
Ks 5h 4h,Td,5.37757,30.31,64.6794,71.1243,69.69,533.82,127.671,35.09,64.91
Ks 5h 4h,Jd,5.32921,30.45,62.5759,68.4967,69.55,535.924,128.43,34.58,65.42
Ks 5h 4h,Qd,3.7108,29.29,55.9001,63.6146,70.71,542.6,127.895,31.07,68.93
Ks 5h 4h,Kd,2.31699,39.95,113.534,94.7374,60.05,484.966,134.594,31.62,68.38
Ks 5h 4h,Ad,1.18335,31.45,65.6066,69.5295,68.55,532.893,129.568,22.60,77.40
Ks 5h 4h,2h,1.87598,35.80,108.1,100.65,64.20,490.4,127.312,30.74,69.26
Ks 5h 4h,3h,3.10773,37.56,114.609,101.702,62.44,483.891,129.17,31.42,68.58
Ks 5h 4h,6h,2.24297,39.88,122.107,102.068,60.12,476.393,132.062,32.08,67.92
Ks 5h 4h,7h,1.55276,40.48,118.842,97.8706,59.52,479.658,134.303,32.62,67.38
Ks 5h 4h,8h,1.41611,38.35,113.97,99.0516,61.65,484.53,130.998,31.16,68.84
Ks 5h 4h,9h,1.87782,37.93,117.284,103.08,62.07,481.216,129.206,34.13,65.87
Ks 5h 4h,Th,4.98725,37.36,106.933,95.4146,62.64,491.567,130.786,36.13,63.87
Ks 5h 4h,Jh,4.9951,38.42,105.146,91.2201,61.58,493.354,133.531,38.67,61.33
