Aggregation analysis,PioViewer 3.3.16, EV in chips
File, C:\Users\bkush\DPS\Pious\src\pious\pio\resources\database\Ts7h4d.cfr
Action Line,Root CHECK CHECK As CHECK
Flop,Turn,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,BET 300 freq,CHECK freq
Ks 5h 4h,8c,26.5714,40.58,114.741,94.2572,59.42,183.759,103.08,7.39,92.61
Ks 5h 4h,9c,23.5804,42.20,116.515,92.0363,57.80,181.985,104.949,12.01,87.99
Ks 5h 4h,Tc,21.544,40.66,108.771,89.1685,59.34,189.729,106.579,24.96,75.04
Ks 5h 4h,Jc,20.7259,41.16,109.79,88.9149,58.84,188.71,106.904,25.71,74.29
Ks 5h 4h,Qc,21.9037,37.79,100.59,88.7385,62.21,197.91,106.036,16.94,83.06
Ks 5h 4h,Kc,26.6488,37.66,102.248,90.5055,62.34,196.252,104.933,8.69,91.31
Ks 5h 4h,Ac,16.8797,27.69,74.5754,89.7648,72.31,223.925,103.228,7.01,92.99
Ks 5h 4h,2d,27.4915,37.93,101.29,89.0122,62.07,197.21,105.909,9.52,90.48
Ks 5h 4h,3d,28.7016,39.02,107.88,92.1566,60.98,190.62,104.199,15.85,84.15
Ks 5h 4h,4d,25.8084,37.44,103.386,92.0463,62.56,195.114,103.961,0.49,99.51
Ks 5h 4h,5d,27.9295,38.21,104.322,90.9971,61.79,194.178,104.759,0.81,99.19
Ks 5h 4h,6d,28.6022,42.36,120.144,94.5337,57.64,178.356,103.15,10.97,89.03
Ks 5h 4h,7d,28.1379,42.77,120.218,93.6976,57.23,178.282,103.836,7.00,93.00
Ks 5h 4h,8d,26.5714,40.58,114.741,94.2572,59.42,183.759,103.08,7.39,92.61
Ks 5h 4h,9d,23.5804,42.20,116.515,92.0363,57.80,181.985,104.949,12.01,87.99
Ks 5h 4h,Td,21.544,40.66,108.771,89.1685,59.34,189.729,106.579,24.96,75.04
Ks 5h 4h,Jd,20.7259,41.16,109.79,88.9149,58.84,188.71,106.904,25.71,74.29
Ks 5h 4h,Qd,21.9037,37.79,100.59,88.7385,62.21,197.91,106.036,16.94,83.06
Ks 5h 4h,Kd,26.6488,37.66,102.248,90.5055,62.34,196.252,104.933,8.69,91.31
Ks 5h 4h,Ad,16.8797,27.69,74.5754,89.7648,72.31,223.925,103.228,7.01,92.99
Ks 5h 4h,2h,30.9205,38.85,107.09,91.8715,61.15,191.41,104.348,6.07,93.93
Ks 5h 4h,3h,31.8529,39.64,110.009,92.4963,60.36,188.491,104.1,9.76,90.24
Ks 5h 4h,6h,31.2897,40.72,111.709,91.4333,59.28,186.791,105.042,7.17,92.83
Ks 5h 4h,7h,31.1449,40.81,111.014,90.6758,59.19,187.486,105.584,4.99,95.01
Ks 5h 4h,8h,30.3086,40.24,111.387,92.2669,59.76,187.113,104.371,4.67,95.33
Ks 5h 4h,9h,28.7171,42.52,118.456,92.8736,57.48,180.044,104.401,6.54,93.46
Ks 5h 4h,Th,27.559,42.46,116.815,91.7055,57.54,181.685,105.252,18.10,81.90
Ks 5h 4h,Jh,27.3556,44.79,123.189,91.6692,55.21,175.311,105.854,18.26,81.74
Ks 5h 4h,Qh,26.0671,39.64,106.968,89.9424,60.36,191.532,105.778,15.57,84.43
Ks 5h 4h,Kh,27.3081,35.09,89.9362,85.4252,64.91,208.564,107.11,2.13,97.87
Ks 5h 4h,Ah,17.4924,25.23,67.1868,88.7794,74.77,231.313,103.117,7.29,92.71
Ks 5h 4h,2s,25.0568,37.05,98.7887,88.8735,62.95,199.711,105.755,28.05,71.95
Ks 5h 4h,3s,26.0811,38.34,103.25,89.7695,61.66,195.25,105.55,34.43,65.57
Ks 5h 4h,4s,22.4321,35.47,99.3413,93.3486,64.53,199.159,102.882,6.49,93.51
Ks 5h 4h,5s,24.4147,36.66,100.17,91.086,63.34,198.33,104.369,13.20,86.80
Ks 5h 4h,6s,25.759,40.82,113.139,92.3838,59.18,185.361,104.409,24.96,75.04
Ks 5h 4h,7s,24.5152,40.32,110.388,91.2517,59.68,188.112,105.073,22.54,77.46
Ks 5h 4h,8s,23.1864,38.52,105.587,91.3601,61.48,192.913,104.601,19.16,80.84
Ks 5h 4h,9s,21.4692,40.71,110.312,90.3204,59.29,188.188,105.803,25.54,74.46
Ks 5h 4h,Ts,18.8853,39.50,103.728,87.5261,60.50,194.772,107.319,37.54,62.46
Ks 5h 4h,Js,19.3985,40.56,105.207,86.4531,59.44,193.293,108.404,37.29,62.71
Ks 5h 4h,Qs,20.1441,36.88,96.5341,87.2479,63.12,201.966,106.659,31.04,68.96
Ks 5h 4h,As,16.2958,29.16,81.7109,93.3972,70.84,216.789,102.012,16.16,83.84
Ks 9h 7s,,11.8439,38.32,109.135,94.9226,61.68,189.366,102.344,13.38,86.62
Ks 9h 7s,2c,13.238,40.05,117.558,97.833,59.95,180.942,100.614,3.16,96.84
Ks 9h 7s,3c,13.8274,41.41,125.229,100.795,58.59,173.271,98.5849,6.53,93.47
Ks 9h 7s,4c,14.806,46.02,142.876,103.48,53.98,155.624,96.1063,8.89,91.11
